galaxy,ring,branch,requested_kmin,effective_kmin,kmax,psf_id,n_fit,P0,P1,P0_sigma_formal,Pr,P_fluctuation,mbar,mbar_sigma_formal,chi2,chi2_reduced,aicc,condition_number
NGC 4649,inner,no_winsor,0.01,0.01,0.25,stpsf_O2024062601-NRCA3_FP1-1,27,1.1593154820089735,-0.10232241683610177,0.029681652441856537,0.0003016493038448,1.1590138327051287,27.839537563027303,0.02780505612944664,1437.3396207547714,57.493584830190855,1441.8396207547714,18.784045650567947
NGC 4649,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1280_1024,27,1.1588794669223377,-0.10185042853744122,0.029012317377900852,0.0003016493038448,1.1585778176184929,27.839946088291793,0.027188267272257507,1375.2515469433415,55.01006187773366,1379.7515469433415,18.768118911427194
NGC 4649,inner,no_winsor,0.01,0.01,0.25,stpsf_field_768_1024,27,1.1582758783502494,-0.10252761507983645,0.02889052632724538,0.0003016493038448,1.1579742290464046,27.84051187569231,0.027088245680423687,1365.3057881768082,54.612231527072325,1369.8057881768082,18.761719673187525
NGC 4649,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_1280,27,1.1633504328087498,-0.10015336284855383,0.02834941645756081,0.0003016493038448,1.163048783504905,27.83576428271482,0.026464915546347688,1304.1059057455886,52.164236229823544,1308.6059057455886,18.818886464505375
NGC 4649,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_768,27,1.1548838536919155,-0.10309268563211436,0.029963911678020184,0.0003016493038448,1.1545822043880707,27.84369696260903,0.028177208709226454,1475.428862361295,59.017154494451795,1479.928862361295,18.725203334883787
NGC 4649,inner,no_winsor,0.03,0.03,0.25,stpsf_O2024062601-NRCA3_FP1-1,25,1.1535054401566267,-0.10130870611420764,0.026655253337707227,0.0003016493038448,1.153203790852782,27.84499395779095,0.025095801648681245,1057.316683722694,45.97029059663887,1061.8621382681486,18.86389919891967
NGC 4649,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1280_1024,25,1.1531099150737767,-0.10084561512167739,0.025901196255789002,0.0003016493038448,1.152808265769932,27.845366406759997,0.024394226998948457,999.6951094499565,43.46500475869376,1004.240563995411,18.848892432794432
NGC 4649,inner,no_winsor,0.03,0.03,0.25,stpsf_field_768_1024,25,1.1524883567099857,-0.10151592227098978,0.025697642275547612,0.0003016493038448,1.152186707406141,27.845951959824667,0.024215572368732584,985.2705754597804,42.83785110694697,989.8160300052349,18.841613237776457
NGC 4649,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_1280,25,1.1575572819406383,-0.0991569156068784,0.0249981617264157,0.0003016493038448,1.1572556326367935,27.84118585297335,0.02345325308715683,924.8633824523438,40.21145141097147,929.4088369977983,18.899314108201246
NGC 4649,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_768,25,1.1490499358484763,-0.10206734170787667,0.026910318256299554,0.0003016493038448,1.1487482865446315,27.849196919639045,0.02543421144096994,1085.6643675030066,47.202798587087244,1090.209822048461,18.803065185520868
