galaxy,ring,branch,k,Pk,Pk_error,Pk_count,E_median,E_mad
NGC 4649,inner,no_winsor,0.004475359374598403,166.82821193977708,38.99520763333932,437,0.9242512774690722,0.0020250522621205204
NGC 4649,inner,no_winsor,0.013426078123795208,2.5047571950816128,0.10959052357038675,1296,0.8401998986832675,0.003482007646958526
NGC 4649,inner,no_winsor,0.022376796872992013,1.0954026148552911,0.025378052340330786,2144,0.7591503846769145,0.003017024040259709
NGC 4649,inner,no_winsor,0.031327515622188815,0.9174311053387484,0.016613730044265935,3000,0.695246216900902,0.006857864935457119
NGC 4649,inner,no_winsor,0.04027823437138563,0.7596874368270502,0.012078863437841834,3888,0.6477875392721482,0.0029763499709799268
NGC 4649,inner,no_winsor,0.049228953120582425,0.6621938707145447,0.009306409126419824,4760,0.6022013812494909,0.002870272975221965
NGC 4649,inner,no_winsor,0.05817967186977923,0.6064312495619487,0.007968634103751268,5556,0.5678758225355366,0.0039060925825112752
NGC 4649,inner,no_winsor,0.06713039061897604,0.5620473914231281,0.007056174646842559,6500,0.5371482749098315,0.00038748429856813653
NGC 4649,inner,no_winsor,0.07608110936817285,0.5075058658879479,0.005959579814157551,7304,0.5033552043462336,0.0016464978510411937
NGC 4649,inner,no_winsor,0.08503182811736965,0.47008952160617445,0.0050958335250463355,8184,0.47303749305840725,0.001188875652969539
NGC 4649,inner,no_winsor,0.09398254686656646,0.4331868709067692,0.004737135807822077,9016,0.44327159464251414,0.002336951165824932
NGC 4649,inner,no_winsor,0.10293326561576326,0.39092742910310674,0.003965665906423988,9952,0.4156089234575411,0.001304609074115282
NGC 4649,inner,no_winsor,0.11188398436496007,0.36273537045175025,0.003463884022939485,10752,0.3882399846599971,0.0010972730466887552
NGC 4649,inner,no_winsor,0.12083470311415687,0.3176585987155451,0.0029824317896666804,11588,0.3634484618197938,0.0016912207042279607
NGC 4649,inner,no_winsor,0.12978542186335368,0.28584727520400327,0.0025358125822245634,12524,0.34144798576576185,0.0009785436005315582
NGC 4649,inner,no_winsor,0.13873614061255046,0.2695188652011197,0.0023136437557842657,13344,0.3193451846831845,0.0006305087583952849
NGC 4649,inner,no_winsor,0.1476868593617473,0.23712456714545035,0.0020274361370866585,14208,0.30039746522778366,0.001720781105693968
NGC 4649,inner,no_winsor,0.1566375781109441,0.21776624026451255,0.0017819150124503266,15040,0.28097913358906973,0.000996200325555735
NGC 4649,inner,no_winsor,0.1655882968601409,0.19067856554149695,0.0015200939936671778,16000,0.26238617859287977,0.0020750053161445884
NGC 4649,inner,no_winsor,0.1745390156093377,0.17197942924711232,0.0013574315935805138,16776,0.24402715888445178,0.0006265116750653792
NGC 4649,inner,no_winsor,0.1834897343585345,0.15175184159143837,0.0011608962584850762,17612,0.22750239602796807,0.0016614953081512433
NGC 4649,inner,no_winsor,0.1924404531077313,0.13961275698883815,0.0010500533663669815,18532,0.21290844281899562,0.0020076542959556417
NGC 4649,inner,no_winsor,0.20139117185692812,0.12034926182198137,0.0008808428983855098,19408,0.19784170294276401,0.0009990926419321399
NGC 4649,inner,no_winsor,0.2103418906061249,0.10817432781515032,0.0007635679744441098,20204,0.1841214628824298,0.0004427715353772251
