galaxy,ring,branch,requested_kmin,effective_kmin,kmax,psf_id,n_fit,P0,P1,P0_sigma_formal,Pr,P_fluctuation,mbar,mbar_sigma_formal,chi2,chi2_reduced,aicc,condition_number
NGC 4621,inner,no_winsor,0.01,0.01,0.25,stpsf_R2024052602-NRCA3_FP1-1,27,1.5228855998747635,-0.13224217954053652,0.035638957169746355,1.4831491430689464e-05,1.5228707683833327,27.54307557187719,0.025408923004081103,1179.1691061593342,47.16676424637337,1183.6691061593342,18.201259342958558
NGC 4621,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1280_1024,27,1.5216579310800886,-0.13110152130690172,0.03495548195794295,1.4831491430689464e-05,1.5216430995886578,27.543951195761906,0.024941743781289997,1136.7657320678506,45.47062928271403,1141.2657320678506,18.178229714587825
NGC 4621,inner,no_winsor,0.01,0.01,0.25,stpsf_field_768_1024,27,1.521492073185977,-0.13246651241952614,0.03563951866773365,1.4831491430689464e-05,1.5214772416945461,27.54406954659951,0.02543259582024042,1181.3375643659108,47.25350257463643,1185.8375643659108,18.1868776227632
NGC 4621,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_1280,27,1.5270087410117434,-0.12908600826024288,0.03370461993651441,1.4831491430689464e-05,1.5269939095203127,27.54013993583442,0.02396494570445407,1050.521027702835,42.0208411081134,1055.021027702835,18.220414550632274
NGC 4621,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_768,27,1.5224545743009448,-0.13413674362529393,0.03557228969687331,1.4831491430689464e-05,1.522439742809514,27.543382916610724,0.02536857238025498,1175.4773023726334,47.01909209490534,1179.9773023726334,18.20413814907122
NGC 4621,inner,no_winsor,0.03,0.03,0.25,stpsf_R2024052602-NRCA3_FP1-1,25,1.513688577547247,-0.13060580610344896,0.034378667292859585,1.4831491430689464e-05,1.5136737460558163,27.549652502071204,0.02465931899027296,992.1174729079823,43.13554230034706,996.6629274534369,18.357626786934045
NGC 4621,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1280_1024,25,1.5125465588279385,-0.12948571500730882,0.03368258551105145,1.4831491430689464e-05,1.5125317273365078,27.55047196468855,0.024178271369955855,954.2193228371848,41.48779664509499,958.7647773826393,18.33570516593353
NGC 4621,inner,no_winsor,0.03,0.03,0.25,stpsf_field_768_1024,25,1.5124169648205872,-0.1308487643198028,0.03444449157386495,1.4831491430689464e-05,1.5124021333291564,27.550564994759466,0.024727306800282296,997.5311177917969,43.37091816486073,1002.0765723372514,18.34485532373356
NGC 4621,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_1280,25,1.5180627736314696,-0.12751648075604538,0.03238007381570752,1.4831491430689464e-05,1.5180479421400388,27.54651947942646,0.02315883278685755,876.2651783746948,38.098486016291076,880.8106329201493,18.381283237621858
NGC 4621,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_768,25,1.5133719510539356,-0.13250876574053133,0.03433658891267916,1.4831491430689464e-05,1.5133571195625048,27.54987963741517,0.0246342897181927,990.1280422031658,43.049045313181125,994.6734967486203,18.36205352187849
NGC 4621,inner,no_winsor,0.04,0.04,0.25,stpsf_R2024052602-NRCA3_FP1-1,24,1.5066919336448,-0.12936762429143944,0.03340883180722259,1.4831491430689464e-05,1.5066771021533691,27.55468272774138,0.024074951560579417,881.8992623735774,40.08633010788988,886.4706909450059,18.50333650070642
NGC 4621,inner,no_winsor,0.04,0.04,0.25,stpsf_field_1280_1024,24,1.5055598767747558,-0.1282535524787539,0.032652250095904264,1.4831491430689464e-05,1.505545045283325,27.555498813094555,0.02354743898696753,844.0670851101975,38.36668568682716,848.638513681626,18.48119997473606
NGC 4621,inner,no_winsor,0.04,0.04,0.25,stpsf_field_768_1024,24,1.5054998355537397,-0.12962232842551133,0.03354777824747924,1.4831491430689464e-05,1.505485004062309,27.55554211317883,0.024194221353385146,890.5642747101267,40.48019430500576,895.1357032815553,18.49174744967579
