galaxy,ring,branch,requested_kmin,effective_kmin,kmax,psf_id,n_fit,P0,P1,P0_sigma_formal,Pr,P_fluctuation,mbar,mbar_sigma_formal,chi2,chi2_reduced,aicc,condition_number
NGC 4472,inner,no_winsor,0.01,0.01,0.25,stpsf_O2024061001-NRCA3_FP1-1,27,1.3210952573043735,-0.1146114517836644,0.036442907949454206,0.0002115229034019,1.3208837344009716,27.69759444383,0.029955236435199428,1648.207499364143,65.92829997456572,1652.707499364143,18.482248707846818
NGC 4472,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1280_1024,27,1.319529276449206,-0.11376039476768612,0.03605262973066742,0.0002115229034019,1.319317753545804,27.698882407886952,0.029669611638380756,1617.4983575898846,64.69993430359538,1621.9983575898846,18.45428373921775
NGC 4472,inner,no_winsor,0.01,0.01,0.25,stpsf_field_768_1024,27,1.3202409079351336,-0.1146827650323259,0.036409842994218705,0.0002115229034019,1.3200293850317317,27.698296926669915,0.02994742783504937,1647.3640128525597,65.89456051410238,1651.8640128525597,18.471325293680753
NGC 4472,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_1280,27,1.3248337681463764,-0.11200608269653244,0.035150536571200694,0.0002115229034019,1.3246222452429746,27.69452581400549,0.02881139155641074,1526.873395788044,61.07493583152176,1531.373395788044,18.505510135752743
NGC 4472,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_768,27,1.3206434784152916,-0.11621422183717225,0.03630731852390792,0.0002115229034019,1.3204319555118897,27.697965859259874,0.02985399592500044,1637.2914292196583,65.49165716878633,1641.7914292196583,18.483100843397104
NGC 4472,inner,no_winsor,0.03,0.03,0.25,stpsf_O2024061001-NRCA3_FP1-1,25,1.3133530929479804,-0.11324737136992628,0.0318157736320955,0.0002115229034019,1.3131415700445785,27.70397704944763,0.026306026785506795,1146.4624749387306,49.8461945625535,1151.007929484185,18.555849456878768
NGC 4472,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1280_1024,25,1.3118135393022965,-0.1124041670299967,0.031405725344814735,0.0002115229034019,1.3116020163988946,27.705250735252687,0.025997469214918537,1120.0727171351855,48.698813788486326,1124.61817168064,18.528420938825235
NGC 4472,inner,no_winsor,0.03,0.03,0.25,stpsf_field_768_1024,25,1.312561302093565,-0.11332806800938262,0.03189841290503921,0.0002115229034019,1.312349779190163,27.704631918124726,0.026390267529664863,1153.718163327666,50.16165927511591,1158.2636178731204,18.546574095446612
NGC 4472,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_1280,25,1.317148961828844,-0.110670478029516,0.030369932297314176,0.0002115229034019,1.316937438925442,27.70084306364724,0.025038193961705747,1039.920492246648,45.21393444550644,1044.4659467921026,18.58167708558693
NGC 4472,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_768,25,1.3129771324201998,-0.11485339443234836,0.03176401877849017,0.0002115229034019,1.3127656095167979,27.7042879469253,0.02627075613987021,1143.4309264294548,49.714388105628466,1147.9763809749093,18.558570895717864
