galaxy,ring,branch,requested_kmin,effective_kmin,kmax,psf_id,n_fit,P0,P1,P0_sigma_formal,Pr,P_fluctuation,mbar,mbar_sigma_formal,chi2,chi2_reduced,aicc,condition_number
NGC 1380,inner,no_winsor,0.01,0.01,0.25,stpsf_R2023111002-NRCA3_FP1-1,27,0.9810812225763927,-0.08491565508612346,0.01888080404578725,1.9643037739237436e-05,0.9810615795386535,28.020333845295344,0.020895296437044204,799.3273978332337,31.97309591332935,803.8273978332337,17.995872711931693
NGC 1380,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1280_1024,27,0.9781406341028483,-0.08394317578636509,0.01868145150179067,1.9643037739237436e-05,0.9781209910651091,28.023593067600007,0.020736829531528885,787.3584571926351,31.494338287705403,791.8584571926351,17.937878312723587
NGC 1380,inner,no_winsor,0.01,0.01,0.25,stpsf_field_768_1024,27,0.9797972424978275,-0.085299600269645,0.01839130417067268,1.9643037739237436e-05,0.9797775994600882,28.02175575064247,0.020380242211928547,760.7471402311792,30.429885609247165,765.2471402311792,17.972368869578702
NGC 1380,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_1280,27,0.9826650132596861,-0.08266510987325723,0.017912835237383348,1.9643037739237436e-05,0.9826453702219469,28.01858248493205,0.01979209828536768,717.8292206035902,28.713168824143608,722.3292206035902,17.999930886121177
NGC 1380,inner,no_winsor,0.01,0.01,0.25,stpsf_field_1024_768,27,0.9771656455441329,-0.0856097168016016,0.019422193425027243,1.9643037739237436e-05,0.9771460025063936,28.024675866490025,0.021580581124292522,852.0955225624998,34.083820902499994,856.5955225624998,17.93882003848693
NGC 1380,inner,no_winsor,0.03,0.03,0.25,stpsf_R2023111002-NRCA3_FP1-1,25,0.9760033080473239,-0.08401113329552135,0.01834279941911254,1.9643037739237436e-05,0.9759836650095847,28.025968143262432,0.020405506915683155,680.5268041819173,29.588121920952926,685.0722587273718,18.17164758461483
NGC 1380,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1280_1024,25,0.9731720274811138,-0.08306022218552957,0.01819413906451033,1.9643037739237436e-05,0.9731523844433745,28.029122387913016,0.020299015665508558,673.498760150825,29.282554789166305,678.0442146962795,18.115328291005632
NGC 1380,inner,no_winsor,0.03,0.03,0.25,stpsf_field_768_1024,25,0.9747201323391164,-0.08439207491260828,0.017773158814263182,1.9643037739237436e-05,0.9747004893013771,28.027396555464723,0.019797837601777366,640.9015687508801,27.86528559786435,645.4470232963346,18.147565421699944
NGC 1380,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_1280,25,0.9776365115856278,-0.08178227218526953,0.01725533031956462,1.9643037739237436e-05,0.9776168685478885,28.024152799138683,0.01916368002205176,600.7883559804516,26.121232868715285,605.3338105259061,18.176754154042783
NGC 1380,inner,no_winsor,0.03,0.03,0.25,stpsf_field_1024_768,25,0.9719798667530961,-0.084678844732593,0.018860493952835403,1.9643037739237436e-05,0.9719602237153568,28.030453284870802,0.02106827072196331,725.0654345451728,31.52458411065969,729.6108890906273,18.110927263172485
NGC 1380,inner,no_winsor,0.04,0.04,0.25,stpsf_R2023111002-NRCA3_FP1-1,24,0.9737224100756869,-0.08360714060524438,0.01869628405863384,1.9643037739237436e-05,0.9737027670379477,28.028508505236783,0.020847463090458603,660.879610773831,30.03998230790141,665.4510393452596,18.378359412691893
NGC 1380,inner,no_winsor,0.04,0.04,0.25,stpsf_field_1280_1024,24,0.9710131042064092,-0.08267875408071221,0.018574661999887748,1.9643037739237436e-05,0.9709934611686699,28.03153375240138,0.020769638345607723,655.9938775323308,29.817903524196854,660.5653061037593,18.323789078321226
NGC 1380,inner,no_winsor,0.04,0.04,0.25,stpsf_field_768_1024,24,0.9725309725628257,-0.0840029114635368,0.01812463109103732,1.9643037739237436e-05,0.9725113295250865,28.02983784203205,0.020234795807503685,622.8965971285672,28.313481687662147,627.4680256999958,18.35573200404154
NGC 1380,inner,no_winsor,0.04,0.04,0.25,stpsf_field_1024_1280,24,0.9759757040753408,-0.0814920930660092,0.017713371154151152,1.9643037739237436e-05,0.9759560610376016,28.02599885182518,0.019705854738924795,590.9882955612466,26.863104343693024,595.5597241326751,18.396133602418914
NGC 1380,inner,no_winsor,0.04,0.04,0.25,stpsf_field_1024_768,24,0.9700501086080151,-0.08433409631102168,0.019330162658817752,1.9643037739237436e-05,0.9700304655702758,28.032611079947507,0.02163587452916098,711.3700428496581,32.33500194771173,715.9414714210867,18.324180606571883
NGC 1380,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_R2023111002-NRCA3_FP1-1,27,0.924952755177503,-0.08009450777558949,0.018111398499162774,1.9643037739237436e-05,0.9249331121397637,28.08429869754727,0.02126013309638295,826.908695079791,33.07634780319164,831.408695079791,18.015098003346584
NGC 1380,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_field_1280_1024,27,0.9221925596510769,-0.07918072390971372,0.01792669293880459,1.9643037739237436e-05,0.9221729166133377,28.08754360758415,0.021106301437177278,815.0969663829458,32.60387865531783,819.5969663829458,17.957299490573828
NGC 1380,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_field_768_1024,27,0.9237526392176076,-0.08045883263946292,0.017648234631292014,1.9643037739237436e-05,0.9237329961798684,28.08570837290697,0.02074336130516323,787.5568276206817,31.502273104827268,792.0568276206817,17.99169069138569
NGC 1380,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_field_1024_1280,27,0.9264667403438529,-0.07797672522009126,0.0172065476512951,1.9643037739237436e-05,0.9264470973061136,28.08252295330348,0.020164963329508147,744.6197761977066,29.784791047908264,749.1197761977066,18.019480912409854
NGC 1380,inner,raw_global_3p5,0.01,0.01,0.25,stpsf_field_1024_768,27,0.9212657974988927,-0.08075036374788766,0.018609535833571802,1.9643037739237436e-05,0.9212461544611534,28.088635295657024,0.021932299755509758,879.4863525176773,35.17945410070709,883.9863525176773,17.958060684416303
NGC 1380,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_R2023111002-NRCA3_FP1-1,25,0.9201044816826359,-0.07923092773653044,0.017596770385841804,1.9643037739237436e-05,0.9200848386448967,28.090004829759007,0.020764879380973912,704.1686157822256,30.616026773140245,708.7140703276801,18.190511396697783
NGC 1380,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_1280_1024,25,0.9174470753493265,-0.07833745344045843,0.017459447223875615,1.9643037739237436e-05,0.9174274323115872,28.0931452107229,0.02066251051406036,697.299890026799,30.317386522904304,701.8453445722535,18.134387593185945
NGC 1380,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_768_1024,25,0.9189056046856543,-0.07959246809064023,0.0170575423491944,1.9643037739237436e-05,0.918885961647915,28.091420474145394,0.02015483102985048,663.721582689368,28.857460116929044,668.2670372348225,18.166527682140384
NGC 1380,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_1024_1280,25,0.9216652594147535,-0.07713378250899848,0.016579062252407607,1.9643037739237436e-05,0.9216456163770143,28.08816461118371,0.019530812937772826,623.5575570915711,27.111198134416135,628.1030116370256,18.195942891736692
NGC 1380,inner,raw_global_3p5,0.03,0.03,0.25,stpsf_field_1024_768,25,0.9163172003016916,-0.0798621007233111,0.018071230436309864,1.9643037739237436e-05,0.9162975572639523,28.094483193690127,0.021412901293566017,748.4093371712178,32.5395363987486,752.9547917166723,18.129815294689646
NGC 1380,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_R2023111002-NRCA3_FP1-1,24,0.9178321154644258,-0.07882847248389935,0.017908895595683493,1.9643037739237436e-05,0.9178124724266865,28.092689627778892,0.02118552200980267,681.9724145223606,30.998746114652757,686.5438430937892,18.39493272428048
NGC 1380,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_1280_1024,24,0.9152880427942611,-0.07795598894322396,0.01779844128406341,1.9643037739237436e-05,0.9152683997565219,28.09570334487227,0.02111338280171156,677.3741011932245,30.789731872419296,681.9455297646531,18.340545782182154
NGC 1380,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_768_1024,24,0.9167184716142738,-0.07920368919472491,0.01736801692734425,1.9643037739237436e-05,0.9166988285765345,28.094007824723416,0.02057064348184157,643.2660206058955,29.23936457299525,647.8374491773241,18.372391003737704
NGC 1380,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_1024_1280,24,0.9199660719204663,-0.07683691705567215,0.016995771534819532,1.9643037739237436e-05,0.919946428882727,28.09016817099436,0.0200586946193837,611.8818150671603,27.812809775780014,616.4532436385889,18.412899034600315
NGC 1380,inner,raw_global_3p5,0.04,0.04,0.25,stpsf_field_1024_768,24,0.9143698732681372,-0.07951423526514992,0.018496661020953837,1.9643037739237436e-05,0.914350230230398,28.096793069215874,0.021963678548566297,732.5356573133126,33.297075332423304,737.1070858847412,18.34070601563308
NGC 1380,inner,normalized_full_3p5,0.01,0.01,0.25,stpsf_R2023111002-NRCA3_FP1-1,27,0.9709796215662381,-0.0841745408880654,0.018869359976218195,1.9643037739237436e-05,0.9709599785284988,28.03157119234605,0.02109988850193661,815.7599673053285,32.63039869221314,820.2599673053285,18.02082994296961
NGC 1380,inner,normalized_full_3p5,0.01,0.01,0.25,stpsf_field_1280_1024,27,0.9680786116726825,-0.08321397286978162,0.018666310953462363,1.9643037739237436e-05,0.9680589686349432,28.0348199835211,0.020935387479571948,803.2063202547156,32.12825281018863,807.7063202547156,17.96286901815924
NGC 1380,inner,normalized_full_3p5,0.01,0.01,0.25,stpsf_field_768_1024,27,0.9697178427739984,-0.08455614737890273,0.018381459864765443,1.9643037739237436e-05,0.9696981997362591,28.032983042331296,0.02058105962959648,776.4881950171047,31.059527800684187,780.9881950171047,17.997389923472532
NGC 1380,inner,normalized_full_3p5,0.01,0.01,0.25,stpsf_field_1024_1280,27,0.9725618855845138,-0.08194945954628718,0.017907985647461485,1.9643037739237436e-05,0.9725422425467746,28.02980333050257,0.019992291872918573,733.0653972859454,29.322615891437817,737.5653972859454,18.02505253578384
