galaxy,ring,branch,k,Pk,Pk_error,Pk_count,E_median,E_mad
NGC 4697,inner,no_winsor,0.004473650243842351,28.28535393211161,4.11429827462604,433,0.9150570447288726,0.018701541466112005
NGC 4697,inner,no_winsor,0.013420950731527052,2.5185363828792826,0.0697021133525348,1296,0.8367424477167389,0.004801892028270969
NGC 4697,inner,no_winsor,0.02236825121921175,1.883012190659908,0.04191274924398454,2148,0.7542108340824213,0.004878935998372718
NGC 4697,inner,no_winsor,0.031315551706896455,1.8731710582925964,0.035762250924264515,3000,0.6926877142016177,0.003436432787419041
NGC 4697,inner,no_winsor,0.04026285219458116,1.6970794313510378,0.0274636499755799,3884,0.6426983107407359,0.00343655431978797
NGC 4697,inner,no_winsor,0.04921015268226586,1.4950861402372948,0.021444410146954276,4760,0.599567894657131,0.0011676942588145377
NGC 4697,inner,no_winsor,0.05815745316995056,1.4221920679956792,0.019377062897291436,5552,0.5655065387674687,0.003605631356954691
NGC 4697,inner,no_winsor,0.06710475365763527,1.3059707377400893,0.01697570738939686,6500,0.5357960818032096,0.0005839434525461079
NGC 4697,inner,no_winsor,0.07605205414531996,1.196558915863602,0.014063314252105002,7312,0.5032297042129319,0.0009344653729289004
NGC 4697,inner,no_winsor,0.08499935463300468,1.0856000398740668,0.012350606738908507,8176,0.47229619974548215,0.00037661531093905495
NGC 4697,inner,no_winsor,0.09394665512068937,0.988589853024289,0.010443622771175758,9032,0.4414847289020184,0.0009042145824515633
NGC 4697,inner,no_winsor,0.10289395560837407,0.8729625191861405,0.008715608654059221,9936,0.4139122214751852,0.0018474943250107224
NGC 4697,inner,no_winsor,0.11184125609605877,0.786518776041485,0.007811070860754396,10768,0.3872234548219209,0.00045398751088588236
NGC 4697,inner,no_winsor,0.12078855658374346,0.7426126047390503,0.006961197059968439,11580,0.362725152204085,0.001467856033715655
NGC 4697,inner,no_winsor,0.12973585707142818,0.6853434151836855,0.006198692284047003,12520,0.3404092921628995,0.0005778876354493099
NGC 4697,inner,no_winsor,0.13868315755911287,0.6071588118652815,0.0053059201804080795,13332,0.3189951423277442,0.0016693924791066827
NGC 4697,inner,no_winsor,0.14763045804679759,0.5797662353597438,0.004860274290625524,14210,0.29992522242543124,0.0012886137982131907
NGC 4697,inner,no_winsor,0.15657775853448228,0.51914668014662,0.004257325860663718,15074,0.28056542500634196,0.0008308865119072147
NGC 4697,inner,no_winsor,0.16552505902216696,0.4517794482739271,0.0036478779957802884,15960,0.26207030339052656,0.0015576611903264914
NGC 4697,inner,no_winsor,0.17447235950985168,0.39891566483697666,0.0030392483111835802,16796,0.2443700442101695,0.001264877790689989
NGC 4697,inner,no_winsor,0.1834196599975364,0.3620536504328439,0.0027408964706255243,17600,0.2281236017778381,0.001303242274780768
NGC 4697,inner,no_winsor,0.1923669604852211,0.3228196716006381,0.002371864195169741,18560,0.21238927739805247,0.0009072591151490829
NGC 4697,inner,no_winsor,0.20131426097290578,0.2848219379304116,0.002011327945015802,19368,0.19783639660241797,0.0006267227883260496
NGC 4697,inner,no_winsor,0.2102615614605905,0.25230313586242903,0.0017319365524844643,20246,0.1843775717977933,0.001138926982753773
NGC 4697,inner,no_winsor,0.21920886194827519,0.22398791029527398,0.0015623447949292245,21078,0.17231275659971973,0.0014564910062955414
NGC 4697,inner,no_winsor,0.22815616243595988,0.2090404800772987,0.0014062284681526935,22000,0.16017471287092247,0.0011189823014895266
NGC 4697,inner,no_winsor,0.2371034629236446,0.1799514215276544,0.0012083997560022215,22750,0.1502444069296049,0.0010335673278774112
NGC 4697,inner,no_winsor,0.2460507634113293,0.1663413075983748,0.0010947363854373166,23702,0.1410748721003944,4.2358804186642113e-05
NGC 4697,inner,no_winsor,0.254998063899014,0.14607825704842656,0.0009298023807782324,24568,0.13354741839750123,0.0011922336997281446
NGC 4697,inner,no_winsor,0.2639453643866987,0.13199001202759483,0.0008383843341666279,25424,0.12638037538772634,0.0010278907071609026
NGC 4697,inner,no_winsor,0.2728926648743834,0.11902297353216998,0.0007337081077195187,26246,0.12046413240544225,0.0006473110529542908
NGC 4697,inner,no_winsor,0.2818399653620681,0.10798931822250367,0.0006654571191754691,27102,0.1147829632012091,0.00028267826680786537
NGC 4697,inner,no_winsor,0.2907872658497528,0.09621475095429685,0.0005688475310415438,28052,0.1099471903874423,0.0006986632119475804
NGC 4697,inner,no_winsor,0.2997345663374375,0.08545560805715437,0.0005030443203510582,28774,0.10465265211929171,0.0005482157341531953
NGC 4697,inner,no_winsor,0.3086818668251222,0.07770520313788176,0.00045509933369165925,29762,0.0997907963769137,0.00013195822542532752
NGC 4697,inner,no_winsor,0.3176291673128069,0.06831764429046144,0.00039513666474990885,30604,0.09495739123310816,0.0005144006481282895
NGC 4697,inner,no_winsor,0.32657646780049165,0.059623830197116846,0.00033662017917745145,31396,0.08984218798538358,0.0006821478233303613
NGC 4697,inner,no_winsor,0.3355237682881763,0.05305884487257851,0.00029760843808801995,32310,0.0846695313467752,0.0004933402947495286
NGC 4697,inner,no_winsor,0.344471068775861,0.045835197624790366,0.00025477259471517896,33150,0.07950675546740739,0.0007544933909926261
NGC 4697,inner,no_winsor,0.35341836926354575,0.03895193088477555,0.0002138991687849015,34048,0.07395804964202624,0.0005953846178420913
NGC 4697,inner,no_winsor,0.3623656697512304,0.03421542479426933,0.00018551280451029165,34826,0.0686795550870368,0.0004998383830401567
NGC 4697,inner,no_winsor,0.3713129702389151,0.02960361859976723,0.0001599997829511284,35762,0.06341975714018507,0.0005056850609252954
NGC 4697,inner,no_winsor,0.38026027072659985,0.02502953579156956,0.00013305343848860228,36576,0.058341519521369394,0.0006921803194903965
NGC 4697,inner,no_winsor,0.3892075712142845,0.020810677477120745,0.00010987948998054958,37486,0.05313321242093842,0.00034065083055364714
NGC 4697,inner,no_winsor,0.3981548717019692,0.017249578885433124,8.989442682057752e-05,38328,0.04827641226538479,0.0003107319539319741
NGC 4697,inner,no_winsor,0.40710217218965394,0.013905704839707059,7.262286477342596e-05,39182,0.043864752083043974,0.0002998330443363626
NGC 4697,inner,no_winsor,0.4160494726773386,0.01168469650372669,6.005069546433462e-05,40048,0.03960314443507073,0.00029640057955354236
NGC 4697,inner,no_winsor,0.4249967731650233,0.009433007379757172,4.8204363867944e-05,40910,0.03566159235728064,0.0002554303950502446
NGC 4697,inner,no_winsor,0.43394407365270804,0.007685789632415125,3.892489872293944e-05,41770,0.03215414840295725,0.00023217999370824235
NGC 4697,inner,no_winsor,0.4428913741403927,0.00615832418568702,2.99685769936053e-05,42612,0.028962926240659142,0.00037746516205663965
NGC 4697,inner,no_winsor,0.4518386746280775,0.004908362185488679,2.4439228615868316e-05,43498,0.026230041428018578,0.0003471456385179938
NGC 4697,inner,no_winsor,0.46078597511576214,0.004009975169429321,1.983419822173189e-05,44320,0.02385802366849488,0.0002242024498644528
NGC 4697,inner,no_winsor,0.4697332756034468,0.003253586221697206,1.57414568716814e-05,45250,0.0217881336186093,0.0002730632445254948
NGC 4697,inner,no_winsor,0.47868057609113157,0.0026333436098418413,1.260042069940198e-05,46038,0.02000298403546693,0.0002362819609973891
NGC 4697,inner,no_winsor,0.48762787657881623,0.0022303103110755842,1.0643400972195586e-05,47008,0.01852120570472722,0.00028447530191111657
NGC 4697,inner,no_winsor,0.49657517706650095,0.001893647213857176,8.876335257167342e-06,47481,0.017175363332186274,0.00017223403401164209
NGC 4697,inner,no_winsor,0.5055224775541856,0.0015445443092276978,7.827653785135111e-06,39738,0.012888046385242465,0.00021395260364150974
NGC 4697,inner,no_winsor,0.5144697780418703,0.0013173274223387188,7.182966841673926e-06,34564,0.00982695657357023,0.00013001570886899235
NGC 4697,inner,no_winsor,0.5234170785295551,0.001114703077207466,6.331401999797822e-06,31156,0.0076933571681893674,6.48677603584965e-05
NGC 4697,inner,no_winsor,0.5323643790172398,0.000995631903193828,5.837234235251055e-06,28432,0.006014554519179927,4.140676115262034e-05
NGC 4697,inner,no_winsor,0.5413116795049244,0.0008980721891181001,5.606098159516268e-06,26002,0.004714669315669528,3.290217669660085e-05
NGC 4697,inner,no_winsor,0.5502589799926092,0.0008378671422129972,5.405208043971418e-06,23936,0.0036562668880714758,4.152014739583901e-05
NGC 4697,inner,no_winsor,0.5592062804802939,0.0007663345859505749,5.140527007282036e-06,22012,0.0028209367029151467,3.548536273433311e-05
NGC 4697,inner,no_winsor,0.5681535809679785,0.0007421464064185925,5.188301799642106e-06,20230,0.0021356558186652057,2.490747604594936e-05
